id,Clase,Codigo,Articulo,Sabor,Variante,Vaso,Gramos,Imagen
1,Flor de Sal Natural,7503027141006,Flor de Sal,Natural,,Tequila,80,55.png
2,Flor de Sal Natural,7503027141013,Flor de Sal,Natural,,Whisky,250,default.png
3,Flor de Sal Natural,7503027141020,Flor de Sal,Natural,,HB,350,default.png
4,Flor de Sal Natural,7503027141037,Flor de Sal,Natural,,Maxi,900,default.png
5,Flor de Sal Natural,´7503028177073,Flor de Sal,Finas Hierbas y Especias,Mexicana,Tequila,,default.png
6,Flor de Sal Natural,´7503028177073,Flor de Sal,Finas Hierbas y Especias,Mexicana,Whisky,200,default.png
7,Flor de Sal Natural,´7503028177417,Flor de Sal,Natural,,Bolsa,100,default.png
8,Flor de Sal Natural,´7503028177240,Flor de Sal,Natural,,Bolsa,200,default.png
9,Flor de Sal Natural,´7503028177233,Flor de Sal,Natural,,Bolsa,350,default.png
10,Flor de Sal Natural,´7503028177226,Flor de Sal,Natural,,Bolsa,1000,default.png
11,Flor de Sal Chapulin,7503027141143,Flor de Sal,Chapulin,Limon,Tequila,80,default.png
12,Flor de Sal Chapulin,7503027141150,Flor de Sal,Chapulin,Mexicxana,Tequila,60,default.png
13,Flor de Sal Chapulin,7503027141167,Flor de Sal,Chapulin,Italiana,Tequila,60,default.png
14,Flor de Sal Chapulin,7503027141174,Flor de Sal,Chapulin,Francesa,Tequila,60,default.png
15,Flor de Sal Chapulin,7503028177349,Flor de Sal,Chapulin,Española,Tequila,60,default.png
16,Flor de Sal Chapulin,7503027141181,Flor de Sal,Chapulin,Alemana,Tequila,60,default.png
17,Flor de Sal Chapulin,7503027141044,Flor de Sal,Chapulin,Limon,Whisky,250,default.png
18,Flor de Sal Chapulin,7503027141051,Flor de Sal,Chapulin,Mexicxana,Whisky,200,default.png
19,Flor de Sal Chapulin,7503027141068,Flor de Sal,Chapulin,Italiana,Whisky,200,default.png
20,Flor de Sal Chapulin,7503027141075,Flor de Sal,Chapulin,Francesa,Whisky,200,default.png
21,Flor de Sal Chapulin,7503028177363,Flor de Sal,Chapulin,Española,Whisky,200,default.png
22,Flor de Sal Chapulin,7503027141082,Flor de Sal,Chapulin,Alemana,Whisky,200,default.png
23,Flor de Sal Gusano de Maguey,7503027141198,Flor de Sal,Gusano de Maguey,Limon,Tequila,80,default.png
24,Flor de Sal Gusano de Maguey,7503027141204,Flor de Sal,Gusano de Maguey,Mexicxana,Tequila,60,default.png
25,Flor de Sal Gusano de Maguey,7503027141211,Flor de Sal,Gusano de Maguey,Italiana,Tequila,60,default.png
26,Flor de Sal Gusano de Maguey,7503027141228,Flor de Sal,Gusano de Maguey,Francesa,Tequila,60,default.png
27,Flor de Sal Gusano de Maguey,7503028177332,Flor de Sal,Gusano de Maguey,Española,Tequila,60,default.png
28,Flor de Sal Gusano de Maguey,7503027141235,Flor de Sal,Gusano de Maguey,Alemana,Tequila,60,default.png
